created_at,entities,lang,text,context_annotations.hashtags,context_annotations.user_mentions,public_metrics.likes,keyword
2023-07-11T09:44:19.000Z,[],en,"Nicole Thea died in July 2020 of an underlying heart condition when she was eight months pregnant.

According to the most recent data, Black and ethnic minority women can be around five to six times more likely to die in childbirth. 

Read more here 👉 https://t.co/AlY9W4AAlu https://t.co/eLl3aobwF7",[],[],1186,frontline
2023-07-16T12:48:15.000Z,[],en,"""Did you say every unmasked healthcare worker here is negligent and pathetic?""

Me: https://t.co/UYBli1EKzt",[],[],13,frontline
2023-07-08T19:34:16.000Z,[],en,"Another healthcare worker dead in their sleep from cardiac arrest.

Stephanie was a nurse in Victoria, BC. Thankfully she was required to be vaccinated.

I don’t have an exact count, but I’ve posted hundreds of Healthcare workers dead in the exact same manner. Where’s the media?! https://t.co/etfe4axpjp",[],[],613,frontline
2023-07-10T14:10:16.000Z,[],en,"Dear @UnderSecStateJ, in Manipur, ethnic minority groups of the Zomi-Kuki tribes have been under attack by state sponsored ethnic cleansing drive of state govt since 3rd May. Over 150 dead, 50k displaced and over 4000 houses burnt. We pray for your intervention in restoring… https://t.co/eb3eSVDwTF",[],['Under Secretary Uzra Zeya'],315,frontline
2023-07-15T23:54:58.000Z,[],en,"People in #KanataCarleton have felt underrepresented by previous Conservative MPPs, and now the PC candidate doesn’t feel our community is worth his time.

I'm a healthcare worker who cares about this community and understands the issues. Please vote for me on July 27! #ONpoli https://t.co/ZFtDJwmRtR","['KanataCarleton', 'ONpoli']",[],155,frontline
2023-07-16T05:38:11.000Z,[],de,"DAYBREAK FRONTLINE / Orangestar
https://t.co/zw66Y50LvS",[],[],584,frontline
2023-07-12T19:01:38.000Z,[],en,"As I have said before, what happened to me must never happen to anyone ever again.

The criminalisation of ethnic minority and migrant women survivors of domestic abuse must end. https://t.co/cxuOqbAonZ",[],[],982,frontline
2023-07-13T13:11:47.000Z,[],en,Hi! There’s no such thing as crossing a picket line when it comes to healthcare worker strikes! Strike nurses are the only reason we nurses can strike without patient harm and the point is that hospitals have to pay for strike nurses and strike nurses cost them a lot more money,[],[],39,frontline
2023-07-13T18:47:57.000Z,[],en,"🚨MUST WATCH FOOTAGE🚨 

Abandoned Ukrainian soldier found by Russian forces tells his story. 

He was mobilized and forced to go to war. This is the state of the Ukrainian Army. They have run out of troops and are sacrificing civilians to the frontline.

THIS WAR MUST END NOW! https://t.co/gtpFcyVNAl",[],[],80021,frontline
2023-07-14T03:17:03.000Z,[],en,"We are Tibetans not some ethnic minority in China. But yes, we have become a minority in our own country after Chinese flooded our country. https://t.co/pPDNGJwJcw",[],[],22,frontline
